FoodID,MeasureID,MeasureDescription,MeasureDescriptionF,ConversionFactorValue
2,341,100ml,100ml,0.40152
2,383,125ml,125ml,0.50190
2,415,250ml,250ml,1.00380
4,341,100ml,100ml,0.92984
4,383,125ml,125ml,1.16230
4,415,250ml,250ml,2.32460
5,341,100ml,100ml,0.92989
5,383,125ml,125ml,1.16236
5,415,250ml,250ml,2.32472
5,502462,1 order,1 commande,6.04000
6,108,1 fritter,1 beignet,0.35000
6,341,100ml,100ml,0.45224
6,383,125ml,125ml,0.56530
6,415,250ml,250ml,1.13060
6,1461,55g,55g,0.55000
7,1457,140g,140g,1.40000
8,1457,140g,140g,1.40000
9,1607,195g,195g,1.95000
10,1457,140g,140g,1.40000
13,341,100ml,100ml,1.01437
13,383,125ml,125ml,1.26789
13,385,15ml,15ml,0.15101
13,439,5ml,5ml,0.05068
14,341,100ml,100ml,1.01437
14,383,125ml,125ml,1.26796
14,385,15ml,15ml,0.15101
14,439,5ml,5ml,0.05068
16,341,100ml,100ml,0.63824
16,385,15ml,15ml,0.09574
16,439,5ml,5ml,0.03190
16,966,1 pat (2.54cm x 2.54cm x 0.85cm),1 carré (2.54cm x 2.54cm x 0.85cm),0.03800
16,1573,10g,10g,0.10000
17,341,100ml,100ml,0.86649
17,385,15ml,15ml,0.12973
17,439,5ml,5ml,0.04324
17,1573,10g,10g,0.10000
18,344,100ml crumbled,100ml émietté,0.57058
18,975,250ml crumbled,250ml émietté,1.42646
18,990,50g,50g,0.50000
18,1454,30g,30g,0.30000
19,348,100ml diced,100ml en dés,0.55790
19,368,100ml shredded,100ml filamenté,0.47760
19,976,250ml diced,250ml en dés,1.39476
19,977,250ml shredded,250ml filamenté,1.19399
19,990,50g,50g,0.50000
19,1454,30g,30g,0.30000
20,358,100ml melted,100ml fondu,1.01442
20,371,100ml slices,100ml tranches,0.60862
20,978,250ml melted,250ml fondu,2.53605
20,979,250ml slices,250ml tranches,1.52156
20,990,50g,50g,0.50000
20,1454,30g,30g,0.30000
21,341,100ml,100ml,1.03970
21,415,250ml,250ml,2.59932
21,990,50g,50g,0.50000
21,1454,30g,30g,0.30000
22,348,100ml diced,100ml en dés,0.55790
22,368,100ml shredded,100ml filamenté,0.47760
22,990,50g,50g,0.50000
22,1454,30g,30g,0.30000
23,348,100ml diced,100ml en dés,0.55790
23,368,100ml shredded,100ml filamenté,0.47760
23,990,50g,50g,0.50000
23,1454,30g,30g,0.30000
24,348,100ml diced,100ml en dés,0.55790
24,368,100ml shredded,100ml filamenté,0.47760
24,976,250ml diced,250ml en dés,1.39476
24,977,250ml shredded,250ml filamenté,1.19399
24,990,50g,50g,0.50000
24,1454,30g,30g,0.30000
25,355,100ml large curd,100ml gros caillé,0.88757
25,619,100ml small curd,100ml petit caillé,0.95097
25,972,125ml large curd,125ml gros caillé,1.10947
25,973,125ml small curd,125ml petit caillé,1.18872
25,981,250ml large curd,250ml gros caillé,2.21893
25,982,250ml small curd,250ml petit caillé,2.37743
25,1489,125g,125g,1.25000
26,376,100ml unpacked,100ml non pressé,0.95520
26,974,125ml unpacked,125ml non pressé,1.19399
26,983,250ml unpacked,250ml non pressé,2.38799
26,1489,125g,125g,1.25000
27,376,100ml unpacked,100ml non pressé,0.61285
27,974,125ml unpacked,125ml non pressé,0.76606
27,983,250ml unpacked,250ml non pressé,1.53212
27,1489,125g,125g,1.25000
28,341,100ml,100ml,0.97973
28,385,15ml,15ml,0.14696
28,415,250ml,250ml,2.45150
28,428,30ml,30ml,0.29392
28,990,50g,50g,0.50000
28,1454,30g,30g,0.30000
29,348,100ml diced,100ml en dés,0.55790
29,990,50g,50g,0.50000
29,994,"250ml, diced","250ml, en dés",1.39475
29,1454,30g,30g,0.30000
30,348,100ml diced,100ml en dés,0.55790
30,368,100ml shredded,100ml filamenté,0.45647
30,976,250ml diced,250ml en dés,1.39476
30,977,250ml shredded,250ml filamenté,1.14117
30,990,50g,50g,0.50000
30,1454,30g,30g,0.30000
31,348,100ml diced,100ml en dés,0.55790
31,415,250ml,250ml,1.39475
31,990,50g,50g,0.50000
31,1454,30g,30g,0.30000
32,348,100ml diced,100ml en dés,0.55790
32,368,100ml shredded,100ml filamenté,0.45647
32,976,250ml diced,250ml en dés,1.39476
32,977,250ml shredded,250ml filamenté,1.14117
32,990,50g,50g,0.50000
32,1454,30g,30g,0.30000
33,341,100ml,100ml,0.56636
33,415,250ml,250ml,1.41589
33,990,50g,50g,0.50000
33,1454,30g,30g,0.30000
34,348,100ml diced,100ml en dés,0.55790
34,368,100ml shredded,100ml filamenté,0.47760
34,976,250ml diced,250ml en dés,1.39476
34,977,250ml shredded,250ml filamenté,1.14117
34,990,50g,50g,0.50000
34,1454,30g,30g,0.30000
35,368,100ml shredded,100ml filamenté,0.47337
35,977,250ml shredded,250ml filamenté,1.18343
35,990,50g,50g,0.50000
35,1454,30g,30g,0.30000
37,348,100ml diced,100ml en dés,0.55790
37,368,100ml shredded,100ml filamenté,0.47760
37,976,250ml diced,250ml en dés,1.39476
37,977,250ml shredded,250ml filamenté,1.14117
37,990,50g,50g,0.50000
37,1454,30g,30g,0.30000
38,341,100ml,100ml,1.01440
38,385,15ml,15ml,0.15216
38,990,50g,50g,0.50000
38,1454,30g,30g,0.30000
39,353,100ml grated,100ml râpé,0.42265
39,385,15ml,15ml,0.06340
39,415,250ml,250ml,1.05664
39,990,50g,50g,0.50000
39,1467,15g,15g,0.15000
40,341,100ml,100ml,0.42270
40,385,15ml,15ml,0.05068
40,990,50g,50g,0.50000
40,1467,15g,15g,0.15000
41,348,100ml diced,100ml en dés,0.55790
41,368,100ml shredded,100ml filamenté,0.47760
41,976,250ml diced,250ml en dés,1.39476
41,977,250ml shredded,250ml filamenté,1.14117
41,990,50g,50g,0.50000
41,1454,30g,30g,0.30000
42,245,1 slice,1 tranche,0.28000
42,348,100ml diced,100ml en dés,0.55790
42,976,250ml diced,250ml en dés,1.39476
42,990,50g,50g,0.50000
42,1454,30g,30g,0.30000
43,341,100ml,100ml,1.04820
43,383,125ml,125ml,1.31029
43,415,250ml,250ml,2.62059
43,1455,100g,100g,1.00000
44,341,100ml,100ml,1.03973
44,383,125ml,125ml,1.31023
44,415,250ml,250ml,2.59932
44,1455,100g,100g,1.00000
45,353,100ml grated,100ml râpé,0.42265
45,385,15ml,15ml,0.06340
45,415,250ml,250ml,1.05663
45,990,50g,50g,0.50000
45,1467,15g,15g,0.15000
46,344,100ml crumbled,100ml émietté,0.57058
46,415,250ml,250ml,1.42645
46,990,50g,50g,0.50000
46,1454,30g,30g,0.30000
47,348,100ml diced,100ml en dés,0.55790
47,368,100ml shredded,100ml filamenté,0.45647
47,976,250ml diced,250ml en dés,1.39476
47,977,250ml shredded,250ml filamenté,1.14117
47,978,250ml melted,250ml fondu,2.57819
47,990,50g,50g,0.50000
47,1454,30g,30g,0.30000
48,348,100ml diced,100ml en dés,0.55790
48,368,100ml shredded,100ml filamenté,0.47760
48,976,250ml diced,250ml en dés,1.39475
48,977,250ml shredded,250ml filamenté,1.19400
48,990,50g,50g,0.50000
48,1454,30g,30g,0.30000
51,341,100ml,100ml,1.03128
51,415,250ml,250ml,2.57819
51,990,50g,50g,0.50000
51,1454,30g,30g,0.30000
52,245,1 slice,1 tranche,0.20833
52,348,100ml diced,100ml en dés,0.59172
52,368,100ml shredded,100ml filamenté,0.47760
52,990,50g,50g,0.50000
52,1454,30g,30g,0.30000
54,341,100ml,100ml,0.25359
54,385,15ml,15ml,0.03041
