FoodID,DescEN,DescFR,NutrientID,NutrientValue,StandardError,NumberofObservations,NutrientSourceID,NutrientDateOfEntry,PROT,H2O,THBR,CAFF,ASH,ALCO,FAT,KCAL,CARB,ALA,B6,PHE,N-NE,22:5n-3DPA,18:1undiff,18:2undiff,MN,VAL,18:2ccn-6,RIBO,10:0,BC-µG,8:0,HIS,GLU,PUFA,RT-µG,18:4,MUFA,PANT,FOLA,TYR,16:1undiff,ISO,KJ,VITC,20:3n-3,NA,RAE,FE,D2-µG,THIA,TDF,N-MG,LYCPN,22:6n-3DHA,B12-A,P,B12,20:3undiff,PRO,14:0,GLY,ZN,LYS,CRYPX,SE,20:5n-3EPA,DFE,MET,D-IU,ARG,LUT+ZEA,ATMG,20:3n-6,ASP,20:4n-6,SER,THR,D3+D2-µG,12:0,MG,18:3cccn-6,ATMG-A,TRP,18:3undiff,CU,CYS,TRFA,TSAT,20:4undiff,FOLN,18:3cccn-3,VITK,CA,LEU,CHOL,18:0,16:0,22:1undiff,TSUG,K,FOAC,22:1t,AC-µG,4:0,22:1c,6:0,18:3i,SUCR,17:1,BETN,TOmega n-3,14:1,18:2cla,24:0,DTMG,BTMG,MALT,20:1,17:0,16:1c,GLUC,GAL,15:0,GTMG,16:1t,TOmega n-6,STAR,22:0,22:4n-6,20:0,18:2i,CHOLN,FRUC,20:2cc,TRMO,18:1t,15:1,24:1c,LACT,18:1c,TRPO,TPST,ASPA,STIG,TMOS,"18:2t,t",12:1,TDIS,SITSTR,SORB,22:3,CAMSTR,21:5,MANN,24:1undiff,13:0,22:2,HYP,BIOT,OXAL
2,Cheese souffle,Soufflé au fromage,203,9.54,0,0,102,2010-04-16,9.54,67.17,0,0,1.67,0,15.7,204,5.91,0.391,0.038,0.517,2.55,0.003,5.383,2.204,0.043,0.621,2.01,0.296,0.103,64,0.044,0.237,2.017,2.77,188,0,5.82,0.971,27,0.428,0.274,0.538,853,0,0,318,194,0.74,0,0.052,0.1,0.317,0,0.022,0,167,0.604,0.006,0.825,0.62,0.233,1.1,0.717,0,15.8,0.001,30,0.266,79,0.449,99,2.03,0.006,0.781,0.047,0.623,0.366,2,0.136,13,0.03,0,0.134,0.484,0.031,0.155,1.239,5.742,0.047,21,0.452,8,184,0.889,129,1.389,2.968,0.002,2.66,119,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Chop suey, with meat, canned","Chop suey, avec viande, conserve",203,4.07,0,0,102,2010-04-19,4.07,86.26,0,0,1.65,0,2.8,60,5.29,0.143,0.086,0.119,2.06,0.001,1.466,0.541,0.137,0.148,,0.069,0,47,0,0.085,0.399,0.75,1,0,1.54,0.304,24,0.084,0.038,0.147,251,4.5,0,490,5,0.59,,0.041,1.1,1.478,0,0.003,0,54,0.058,0,0.089,0.006,0.121,0.39,0.22,2,2.6,0.001,25,0.064,1,0.188,50,0.45,0,0.347,0.007,0.084,0.111,0,0.001,13,0,0,0.035,0.193,0.097,0.029,0.078,0.364,0.007,24,0.193,16.9,17,0.208,6,0.089,0.239,0,3.4,164,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Chinese dish, chow mein, chicken","Mets chinois, chow mein, poulet",203,6.76,0.538,6,0,2013-05-22,6.76,81.01,0,0,1.13,0,2.8,85,8.29,0.356,0.175,0.252,2.851,0,0.569,1.066,0.099,0.307,1.057,0.023,0.002,166,0.001,0.184,1.38,1.226,1,0,0.613,0.26,27,0.218,0.03,0.28,355,2,0,311,19,0.67,,0.031,1,1.468,0,0,,54,0.07,0,0.355,0.007,0.237,0.32,0.475,1,6.1,0.002,32,0.163,1,0.424,66,0.43,0,0.604,0,0.252,0.268,0,0.001,11,0,,0.083,0.129,0.029,0.077,0.017,0.49,0.016,21,0.128,22,21,0.502,16,0.11,0.347,0.001,1.74,124,7,0,99,0.003,0,0,0,0.6,0.003,0.8,0.13,0.001,0.002,0.003,0.25,0.03,0,0.01,0.003,0.029,0.65,0,0.001,0.93,0,1.077,3.99,0.006,0.004,0.006,0.007,24,0.49,0,0.01,0.009,0,0.001,0,0.56,0.007,,,,,,,,,,,,,,,,,,,
6,Corn fritter,"Maïs, beignet",203,8.55,0,0,102,2010-05-14,8.55,29.42,0,0,2.27,0,21.24,374,38.62,0.419,0.062,0.478,4.03,0.002,8.46,5.156,0.261,0.411,,0.261,0.003,16,0,0.214,2.504,5.564,46,,8.543,0.814,81,0.324,0.064,0.335,1564,0.3,0,441,50,2.5,,0.223,2,2.247,,0.012,,122,0.319,0,0.943,0.082,0.269,0.84,0.433,,26.1,0.001,112,0.192,21,0.399,150,0.58,0.0027,0.523,0.0257,0.478,0.271,0.5,0.01,22,0.004,,0.107,0.353,0.101,0.146,3.013,5.455,0.026,35,0.348,0.9,74,0.764,61,1.92,3.276,0,2.85,154,45,,,,,,,0.956,,,,,,,,,0.271,,,,0.2829,0.2,,,,,,,,,,,0.174,,,,,,0.963,,,1,0,,,,,,,,,,,,,,,,,
7,"Beef pot roast, with browned potatoes, peas and corn","Boeuf braisé, avec pomme de terre au four, pois et maïs",203,21.29,0,0,102,2010-04-16,21.29,61.17,0,0,1.86,0,5.25,179,10.72,1.27,0.268,0.844,6.449,0,2.221,0.532,0.139,1.06,,0.209,0.001,,,0.66,3.218,0.709,,,2.552,0.764,18,0.677,0.218,0.956,749,7.8,0,306,15,2.37,,0.089,1.6,4.016,,0,,160,1.345,0,1.013,0.112,1.248,4.99,1.749,,14.1,0,18,0.537,9,1.36,,,0,2.053,0.052,0.839,0.846,0.2,0.006,31,0.004,,0.146,0.091,0.121,0.268,,1.872,0.052,18,0.076,5.6,11,1.676,48,0.589,1.069,0,1.44,386,0,0,,,0,,,,,,,,,,,,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Fried chicken, mashed potatoes and vegetables",Poulet frit avec pommes de terre en purée et légumes,203,12.8,0,0,0,1997-05-01,12.8,66.1,0,0,1.3,0,8.5,173,11.3,,,,7.547,0,3,1,,,,0.18,,354,,,,1,0,,3,,18,,,,723,4,0,344,30,1.2,,0.07,1,5.2,,0,,145,,0,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,3,,,,,41,,49,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Meat loaf with tomato sauce, mashed potatoes and peas","Pain de viande avec sauce aux tomates, pommes de terre en purée et pois",203,8,0,0,0,1997-05-01,8,73.7,0,0,1.8,0,6.7,131,9.8,,,,3.167,0,3,0,,,,0.14,,258,,,,0,0,,3,,10,,,,548,4,0,393,22,1.3,,0.1,1.2,1.7,,0,,117,,0,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,3,,,,,19,,31,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sliced turkey with mashed potatoes and peas,Dinde tranchée avec pommes de terre en purée et pois,203,8.4,0,0,0,1997-05-01,8.4,74.7,0,0,1.2,0,3,112,12.7,,,,3.84,0,1,0,,,,0.09,,78,,,,0,0,,1,,15,,,,468,4,0,400,7,1.1,,0.07,1.1,2.3,,0,,87,,0,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,1,,,,,26,,32,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Vinegar, cider","Vinaigre, cidre",203,0,0,3,0,2009-07-02,0,93.81,0,0,0.17,0,0,22,0.93,0,0,0,0,0,0,0,0.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,5,0,0.2,,0,0,0,,0,,8,0,0,0,0,0,0.04,0,,0.1,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,,0,0,0.008,0,0,0,0,0,0,,7,0,0,0,0,0,0.4,73,0,0,,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0.1,0,0,,0,0,0,0,0,0,0,,0.3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,"Vinegar, distilled (white)","Vinaigre, distillé (blanc)",203,0,0,3,0,2009-07-02,0,94.78,0,0,0.02,0,0,18,0.04,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,2,0,0.03,,0,0,0,0,0,,4,0,0,0,0,0,0.01,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.006,0,0,0,0,0,0,0,6,0,0,0,0,0,0.04,2,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,,0,0,,0,,0,0,0,,0,0,0,0,,
